paper_table,pair_id,pair_slug,dataset,method,method_dir,run_name,window,ratio_or_budget,budget_mode,coverage_tau,coverage_scale,score,avg_budget,n_samples,status,timestamp,model_a,model_b,root,run_dir,log_path,per_sample_path
unknown,,cost_profile,multifieldqa_en,B-ReKV,coverage,cov_t0.95_s0.75_w8_cost_0630_1648,8,,coverage,0.95,0.75,,,,unknown,0630_1648,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0630_1648,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.75_w8_cost_0630_1648/log.log,
unknown,,cost_profile,multifieldqa_en,B-ReKV,coverage,cov_t0.95_s0.85_w8_cost_0630_1649,8,,coverage,0.95,0.85,,,,unknown,0630_1649,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0630_1649,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/coverage/cov_t0.95_s0.85_w8_cost_0630_1649/log.log,
unknown,,cost_profile,multifieldqa_en,KVComm,kvcomm,kvcomm_top0.3_cost_0630_1642,0,0.3,uniform,,,1.0,,,done,0630_1642,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/kvcomm/kvcomm_top0.3_cost_0630_1642,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/kvcomm/kvcomm_top0.3_cost_0630_1642/log.log,
unknown,,cost_profile,multifieldqa_en,ReKV,mtc_receiver,recv_w16_r0.3_cost_0630_1647,16,0.3,uniform,,,,,,unknown,0630_1647,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0630_1647,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w16_r0.3_cost_0630_1647/log.log,
unknown,,cost_profile,multifieldqa_en,ReKV,mtc_receiver,recv_w8_r0.3_cost_0630_1646,8,0.3,uniform,,,,,,unknown,0630_1646,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0630_1646,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same/multifieldqa_en/mtc_receiver/recv_w8_r0.3_cost_0630_1646/log.log,
unknown,,cost_profile,countries,B-ReKV,coverage,cov_t0.95_s0.75_w8_cost_0630_1744,8,,coverage,0.95,0.75,,,,unknown,0630_1744,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/coverage/cov_t0.95_s0.75_w8_cost_0630_1744,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/coverage/cov_t0.95_s0.75_w8_cost_0630_1744/log.log,
unknown,,cost_profile,countries,B-ReKV,coverage,cov_t0.95_s0.85_w8_cost_0630_1746,8,,coverage,0.95,0.85,,,,unknown,0630_1746,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/coverage/cov_t0.95_s0.85_w8_cost_0630_1746,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/coverage/cov_t0.95_s0.85_w8_cost_0630_1746/log.log,
unknown,,cost_profile,countries,KVComm,kvcomm,kvcomm_top0.3_cost_0630_1730,0,0.3,uniform,,,1.0,,,done,0630_1730,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.3_cost_0630_1730,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.3_cost_0630_1730/log.log,
unknown,,cost_profile,countries,KVComm,kvcomm,kvcomm_top0.5_cost_0630_1735,0,0.5,uniform,,,1.0,,,done,0630_1735,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.5_cost_0630_1735,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.5_cost_0630_1735/log.log,
unknown,,cost_profile,countries,KVComm,kvcomm,kvcomm_top0.7_cost_0630_1740,0,0.7,uniform,,,1.0,,,done,0630_1740,/sharedspace/models/Llama-3.1-8B-Instruct,/sharedspace/models/Llama-3.1-8B-Instruct,/home/xay/KVComm/snapshots/cost_profile,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.7_cost_0630_1740,/home/xay/KVComm/snapshots/cost_profile/pair1_llama31_same_all8_full/countries/kvcomm/kvcomm_top0.7_cost_0630_1740/log.log,
